"Date","Price","Open","High","Low","Vol.","Change %"
"05-09-1995","719.81","719.81","719.81","719.81","","-0.66%"
"04-09-1995","724.62","724.62","724.62","724.62","","-0.21%"
"01-09-1995","726.14","726.14","726.14","726.14","","0.01%"
"31-08-1995","726.09","726.09","726.09","726.09","","-0.15%"
"28-08-1995","727.19","727.19","727.19","727.19","","-0.88%"
"25-08-1995","733.63","733.63","733.63","733.63","","-1.02%"
"24-08-1995","741.18","741.18","741.18","741.18","","-0.76%"
"22-08-1995","746.87","746.87","746.87","746.87","","-0.48%"
"21-08-1995","750.44","750.44","750.44","750.44","","0.13%"
"17-08-1995","749.48","749.48","749.48","749.48","","0.11%"
"16-08-1995","748.66","748.66","748.66","748.66","","0.25%"
"14-08-1995","746.77","746.77","746.77","746.77","","-0.58%"
"11-08-1995","751.13","751.13","751.13","751.13","","-0.42%"
"09-08-1995","754.27","754.27","754.27","754.27","","0.54%"
"08-08-1995","750.21","750.21","750.21","750.21","","-0.76%"
"07-08-1995","755.92","755.92","755.92","755.92","","-0.24%"
"04-08-1995","757.71","757.71","757.71","757.71","","0.04%"
"03-08-1995","757.39","757.39","757.39","757.39","","-1.13%"
"02-08-1995","766.07","766.07","766.07","766.07","","1.10%"
"01-08-1995","757.76","757.76","757.76","757.76","","-0.10%"
"31-07-1995","758.54","758.54","758.54","758.54","","-1.21%"
"28-07-1995","767.83","767.83","767.83","767.83","","-2.38%"
"27-07-1995","786.53","786.53","786.53","786.53","","-0.24%"
"26-07-1995","788.46","788.46","788.46","788.46","","0.57%"
"25-07-1995","783.96","783.96","783.96","783.96","","1.58%"
"21-07-1995","771.80","771.80","771.80","771.80","","-0.22%"
"20-07-1995","773.51","773.51","773.51","773.51","","0.79%"
"19-07-1995","767.48","767.48","767.48","767.48","","0.22%"
"18-07-1995","765.76","765.76","765.76","765.76","","0.53%"
"17-07-1995","761.76","761.76","761.76","761.76","","1.80%"
"14-07-1995","748.32","748.32","748.32","748.32","","1.56%"
"13-07-1995","736.85","736.85","736.85","736.85","","1.00%"
"12-07-1995","729.54","729.54","729.54","729.54","","1.26%"
"11-07-1995","720.44","720.44","720.44","720.44","","0.32%"
"10-07-1995","718.12","718.12","718.12","718.12","","0.39%"
"07-07-1995","715.32","715.32","715.32","715.32","","0.37%"
"06-07-1995","712.65","712.65","712.65","712.65","","-0.20%"
"05-07-1995","714.06","714.06","714.06","714.06","","-0.08%"
"04-07-1995","714.63","714.63","714.63","714.63","","-1.14%"
"03-07-1995","722.89","722.89","722.89","722.89","","-1.95%"
"30-06-1995","737.24","737.24","737.24","737.24","","-0.70%"
"29-06-1995","742.47","742.47","742.47","742.47","","-0.28%"
"28-06-1995","744.56","744.56","744.56","744.56","","0.80%"
"27-06-1995","738.67","738.67","738.67","738.67","","-0.68%"
"26-06-1995","743.69","743.69","743.69","743.69","","-1.76%"
"23-06-1995","757.05","757.05","757.05","757.05","","-0.92%"
"22-06-1995","764.08","764.08","764.08","764.08","","-0.70%"
"21-06-1995","769.43","769.43","769.43","769.43","","-0.16%"
"20-06-1995","770.65","770.65","770.65","770.65","","0.21%"
"19-06-1995","769.07","769.07","769.07","769.07","","0.48%"
"16-06-1995","765.42","765.42","765.42","765.42","","0.46%"
"15-06-1995","761.92","761.92","761.92","761.92","","-0.65%"
"14-06-1995","766.92","766.92","766.92","766.92","","0.11%"
"13-06-1995","766.04","766.04","766.04","766.04","","-0.93%"
"12-06-1995","773.22","773.22","773.22","773.22","","-0.57%"
"09-06-1995","777.64","777.64","777.64","777.64","","-0.53%"
"08-06-1995","781.77","781.77","781.77","781.77","","-0.83%"
"07-06-1995","788.33","788.33","788.33","788.33","","-0.06%"
"06-06-1995","788.78","788.78","788.78","788.78","","0.27%"
"05-06-1995","786.67","786.67","786.67","786.67","","-0.19%"
"02-06-1995","788.19","788.19","788.19","788.19","","-0.07%"
"01-06-1995","788.73","788.73","788.73","788.73","","1.50%"
"31-05-1995","777.09","777.09","777.09","777.09","","2.02%"
"30-05-1995","761.69","761.69","761.69","761.69","","0.32%"
"29-05-1995","759.23","759.23","759.23","759.23","","-0.05%"
"26-05-1995","759.63","759.63","759.63","759.63","","0.54%"
"25-05-1995","755.53","755.53","755.53","755.53","","-0.40%"
"24-05-1995","758.59","758.59","758.59","758.59","","-0.40%"
"23-05-1995","761.66","761.66","761.66","761.66","","-0.61%"
"22-05-1995","766.30","766.30","766.30","766.30","","-1.21%"
"19-05-1995","775.70","775.70","775.70","775.70","","0.84%"
"18-05-1995","769.27","769.27","769.27","769.27","","1.49%"
