"Date","Price","Open","High","Low","Vol.","Change %"
"16-07-2020","4,788.80","4,808.15","4,818.05","4,740.50","16.72B","-0.12%"
"15-07-2020","4,794.40","4,835.30","4,872.05","4,781.55","20.78B","-0.11%"
"14-07-2020","4,799.85","4,858.70","4,859.65","4,751.35","17.61B","-1.49%"
"13-07-2020","4,872.65","4,909.30","4,918.90","4,852.95","20.39B","0.05%"
"10-07-2020","4,870.25","4,876.15","4,912.20","4,840.90","25.39B","-0.20%"
"09-07-2020","4,880.15","4,858.40","4,886.35","4,851.85","22.98B","1.08%"
"08-07-2020","4,827.80","4,866.15","4,896.85","4,818.10","24.12B","-0.24%"
"07-07-2020","4,839.60","4,817.35","4,844.85","4,782.30","35.48B","1.00%"
"06-07-2020","4,791.65","4,744.15","4,793.95","4,738.95","25.96B","1.82%"
"03-07-2020","4,706.00","4,725.85","4,729.70","4,686.55","20.03B","0.22%"
"02-07-2020","4,695.65","4,695.35","4,710.00","4,684.90","19.95B","0.89%"
"01-07-2020","4,654.10","4,623.90","4,664.65","4,595.00","19.30B","0.85%"
"30-06-2020","4,614.95","4,671.65","4,682.50","4,597.50","22.04B","-0.61%"
"29-06-2020","4,643.15","4,700.10","4,700.25","4,612.15","33.31B","-1.38%"
"26-06-2020","4,708.35","4,744.10","4,756.05","4,699.85","25.80B","0.30%"
"25-06-2020","4,694.50","4,632.60","4,700.25","4,618.70","19.92B","0.51%"
"24-06-2020","4,670.55","4,807.35","4,823.95","4,663.95","33.29B","-1.80%"
"23-06-2020","4,756.30","4,740.00","4,760.90","4,689.45","24.10B","1.58%"
"22-06-2020","4,682.50","4,629.75","4,689.50","4,628.00","22.46B","2.31%"
"19-06-2020","4,576.75","4,536.75","4,585.05","4,525.00","25.54B","1.86%"
"18-06-2020","4,493.20","4,437.75","4,498.00","4,433.70","21.40B","1.50%"
"17-06-2020","4,426.95","4,396.30","4,453.50","4,387.95","23.04B","0.50%"
"16-06-2020","4,404.75","4,486.95","4,495.35","4,322.20","21.42B","-0.11%"
"15-06-2020","4,409.60","4,416.95","4,452.40","4,380.20","20.52B","0.37%"
"12-06-2020","4,393.50","4,206.60","4,397.05","4,206.55","23.32B","-0.11%"
"11-06-2020","4,398.35","4,455.75","4,489.30","4,390.35","32.93B","-0.87%"
"10-06-2020","4,436.80","4,435.00","4,445.15","4,388.90","27.72B","0.51%"
"09-06-2020","4,414.15","4,514.50","4,518.80","4,391.00","28.44B","-1.42%"
"08-06-2020","4,477.70","4,524.15","4,542.70","4,457.95","36.42B","1.23%"
"05-06-2020","4,423.10","4,333.70","4,430.25","4,332.00","35.04B","3.38%"
"04-06-2020","4,278.55","4,306.50","4,328.25","4,241.90","22.07B","0.01%"
"03-06-2020","4,278.15","4,302.75","4,332.10","4,262.40","27.25B","1.17%"
"02-06-2020","4,228.65","4,175.40","4,234.40","4,158.45","24.04B","2.36%"
"01-06-2020","4,131.10","4,079.40","4,148.05","4,076.50","27.89B","3.21%"
"29-05-2020","4,002.80","3,966.05","4,022.80","3,956.05","20.81B","0.86%"
"28-05-2020","3,968.50","3,937.95","3,980.50","3,936.80","20.62B","1.61%"
"27-05-2020","3,905.60","3,903.50","3,912.00","3,862.75","15.01B","0.65%"
"26-05-2020","3,880.20","3,880.25","3,889.95","3,856.70","12.63B","0.76%"
"22-05-2020","3,850.85","3,878.55","3,902.80","3,832.35","19.66B","-0.63%"
"21-05-2020","3,875.20","3,863.90","3,905.30","3,863.85","16.26B","0.61%"
"20-05-2020","3,851.75","3,814.60","3,856.75","3,812.90","17.37B","1.04%"
"19-05-2020","3,811.95","3,839.60","3,855.25","3,799.95","21.87B","0.19%"
"18-05-2020","3,804.90","3,945.75","3,950.65","3,785.15","20.70B","-3.31%"
"15-05-2020","3,935.10","3,957.45","3,959.40","3,911.80","21.32B","-0.03%"
"14-05-2020","3,936.20","3,959.50","3,978.70","3,924.75","16.35B","-0.99%"
"13-05-2020","3,975.70","4,040.65","4,040.65","3,939.35","20.35B","2.50%"
